2025/10/05 07:16:23 [crit] 51949#51949: *371 connect() to unix:/run/gunicorn-py-sites.sock failed (2: No such file or directory) while connecting to upstream, client: 172.70.142.22, server: py-sites.com, request: "GET /racs3.php HTTP/2.0", upstream: "http://unix:/run/gunicorn-py-sites.sock:/racs3.php", host: "admin-filament.dev-vue.com"
2025/10/05 07:16:23 [crit] 51949#51949: *358 connect() to unix:/run/gunicorn-py-sites.sock failed (2: No such file or directory) while connecting to upstream, client: 104.23.175.142, server: py-sites.com, request: "GET /file2.php HTTP/2.0", upstream: "http://unix:/run/gunicorn-py-sites.sock:/file2.php", host: "admin-filament.dev-vue.com"
2025/10/05 07:16:23 [crit] 51949#51949: *371 connect() to unix:/run/gunicorn-py-sites.sock failed (2: No such file or directory) while connecting to upstream, client: 172.70.142.22, server: py-sites.com, request: "GET /class.1.php HTTP/2.0", upstream: "http://unix:/run/gunicorn-py-sites.sock:/class.1.php", host: "admin-filament.dev-vue.com"
2025/10/05 07:16:23 [crit] 51949#51949: *375 connect() to unix:/run/gunicorn-py-sites.sock failed (2: No such file or directory) while connecting to upstream, client: 162.158.88.30, server: py-sites.com, request: "GET /manager.php HTTP/2.0", upstream: "http://unix:/run/gunicorn-py-sites.sock:/manager.php", host: "admin-filament.dev-vue.com"
2025/10/05 07:16:23 [crit] 51949#51949: *377 connect() to unix:/run/gunicorn-py-sites.sock failed (2: No such file or directory) while connecting to upstream, client: 162.158.108.142, server: py-sites.com, request: "GET /file21.php HTTP/2.0", upstream: "http://unix:/run/gunicorn-py-sites.sock:/file21.php", host: "admin-filament.dev-vue.com"
2025/10/05 07:16:23 [crit] 51949#51949: *379 connect() to unix:/run/gunicorn-py-sites.sock failed (2: No such file or directory) while connecting to upstream, client: 172.71.82.150, server: py-sites.com, request: "GET /error.php HTTP/2.0", upstream: "http://unix:/run/gunicorn-py-sites.sock:/error.php", host: "admin-filament.dev-vue.com"
2025/10/05 07:16:24 [crit] 51949#51949: *381 connect() to unix:/run/gunicorn-py-sites.sock failed (2: No such file or directory) while connecting to upstream, client: 162.158.106.88, server: py-sites.com, request: "GET /file6.php HTTP/2.0", upstream: "http://unix:/run/gunicorn-py-sites.sock:/file6.php", host: "admin-filament.dev-vue.com"
2025/10/05 07:16:24 [crit] 51949#51949: *369 connect() to unix:/run/gunicorn-py-sites.sock failed (2: No such file or directory) while connecting to upstream, client: 162.158.170.226, server: py-sites.com, request: "GET /file.php HTTP/2.0", upstream: "http://unix:/run/gunicorn-py-sites.sock:/file.php", host: "admin-filament.dev-vue.com"
2025/10/05 07:16:24 [crit] 51949#51949: *384 connect() to unix:/run/gunicorn-py-sites.sock failed (2: No such file or directory) while connecting to upstream, client: 172.69.165.15, server: py-sites.com, request: "GET /lock360.php HTTP/2.0", upstream: "http://unix:/run/gunicorn-py-sites.sock:/lock360.php", host: "admin-filament.dev-vue.com"
2025/10/05 07:16:25 [crit] 51949#51949: *386 connect() to unix:/run/gunicorn-py-sites.sock failed (2: No such file or directory) while connecting to upstream, client: 162.158.189.164, server: py-sites.com, request: "GET /default.php HTTP/2.0", upstream: "http://unix:/run/gunicorn-py-sites.sock:/default.php", host: "admin-filament.dev-vue.com"
